epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8920.59,0.81998,0.42364,0.00493,0.89821,0.79125,0.83638,0.64688,0.95566,0.64562,0.00625,0.000228304,0.000228304,0.000228304
43,9132.9,0.8226,0.42506,0.00496,0.8271,0.84757,0.86288,0.67051,0.95054,0.63728,0.00631,0.000225457,0.000225457,0.000225457
44,9345.02,0.81674,0.43324,0.00493,0.86122,0.81224,0.85892,0.66914,0.94165,0.60645,0.00618,0.000222611,0.000222611,0.000222611
45,9557.39,0.80277,0.41703,0.00484,0.86172,0.80902,0.84816,0.65909,0.94219,0.62041,0.00617,0.000219765,0.000219765,0.000219765
46,9769.76,0.80584,0.41711,0.00477,0.82063,0.7931,0.83479,0.65186,0.94142,0.62635,0.0061,0.000216919,0.000216919,0.000216919
47,9982.17,0.80746,0.41834,0.0048,0.85399,0.80364,0.85496,0.6693,0.91803,0.62208,0.00598,0.000214073,0.000214073,0.000214073
48,10194.7,0.79289,0.39391,0.00472,0.9137,0.78402,0.84823,0.66335,0.9246,0.59789,0.00605,0.000211226,0.000211226,0.000211226
49,10406.9,0.78785,0.39461,0.00468,0.88782,0.79644,0.84059,0.65776,0.94904,0.60901,0.00634,0.00020838,0.00020838,0.00020838
50,10618.6,0.78613,0.3906,0.00474,0.92207,0.79358,0.84589,0.66418,0.92082,0.60324,0.00604,0.000205534,0.000205534,0.000205534
51,10830.9,0.78492,0.39677,0.00469,0.90005,0.80608,0.85701,0.66642,0.94013,0.61436,0.00608,0.000202687,0.000202687,0.000202687
52,11043.3,0.77682,0.38642,0.0047,0.87758,0.79338,0.84707,0.6591,0.95009,0.60753,0.00622,0.000199841,0.000199841,0.000199841
53,11255.8,0.77179,0.38067,0.0046,0.91901,0.81021,0.85518,0.67704,0.92277,0.60929,0.00604,0.000196995,0.000196995,0.000196995
54,11468.6,0.77123,0.38902,0.00467,0.90731,0.79462,0.84009,0.66431,0.92866,0.64281,0.00612,0.000194149,0.000194149,0.000194149
55,11681,0.75655,0.37519,0.00461,0.88287,0.81298,0.84202,0.6627,0.93395,0.63716,0.00612,0.000191303,0.000191303,0.000191303
56,11893.4,0.76333,0.38262,0.00452,0.87396,0.79959,0.85089,0.66847,0.9304,0.61328,0.0061,0.000188456,0.000188456,0.000188456
57,12105.6,0.75215,0.37486,0.00456,0.86553,0.80163,0.83577,0.66197,0.90467,0.64867,0.00592,0.00018561,0.00018561,0.00018561
58,12317.8,0.74829,0.36207,0.00446,0.88474,0.82979,0.8397,0.66144,0.92106,0.65834,0.00605,0.000182764,0.000182764,0.000182764
59,12530,0.7408,0.35785,0.00445,0.89627,0.82889,0.86179,0.67689,0.93029,0.62917,0.00608,0.000179917,0.000179917,0.000179917
60,12742.4,0.74355,0.361,0.00444,0.91566,0.80467,0.8631,0.67853,0.91999,0.58814,0.00601,0.000177071,0.000177071,0.000177071
61,12954.6,0.7232,0.34846,0.00436,0.8526,0.80144,0.83735,0.65564,0.92913,0.60177,0.00603,0.000174225,0.000174225,0.000174225
62,13166.1,0.72994,0.3521,0.0044,0.81453,0.82841,0.84343,0.66542,0.92636,0.60118,0.00605,0.000171379,0.000171379,0.000171379
63,13377.8,0.73187,0.34194,0.00433,0.88844,0.78687,0.8378,0.66391,0.91766,0.63991,0.00608,0.000168532,0.000168532,0.000168532
64,13589.5,0.71375,0.33589,0.00422,0.87808,0.80631,0.83579,0.6609,0.91857,0.64542,0.00599,0.000165686,0.000165686,0.000165686
65,13801.4,0.71469,0.33859,0.00422,0.87632,0.81235,0.84078,0.66552,0.93028,0.60954,0.00612,0.00016284,0.00016284,0.00016284
66,14013.4,0.70916,0.33824,0.00423,0.91654,0.80962,0.84593,0.66924,0.92872,0.6024,0.0061,0.000159994,0.000159994,0.000159994
67,14225.1,0.69969,0.32844,0.00419,0.88636,0.81301,0.852,0.67621,0.92283,0.58762,0.00606,0.000157147,0.000157147,0.000157147
68,14436.7,0.70865,0.32101,0.00429,0.92222,0.80419,0.85694,0.67381,0.90611,0.59835,0.0059,0.000154301,0.000154301,0.000154301
69,14648.5,0.70311,0.3284,0.00414,0.92247,0.83434,0.87238,0.68773,0.92206,0.55122,0.00604,0.000151455,0.000151455,0.000151455
70,14860.3,0.69921,0.31676,0.00415,0.93718,0.79817,0.85272,0.67814,0.92718,0.59793,0.00621,0.000148609,0.000148609,0.000148609
71,15072.1,0.68478,0.3251,0.00406,0.92248,0.80732,0.86057,0.67657,0.92828,0.57736,0.00608,0.000145762,0.000145762,0.000145762
72,15283.5,0.68545,0.32287,0.00409,0.91356,0.80961,0.85308,0.67537,0.92587,0.5868,0.00604,0.000142916,0.000142916,0.000142916
73,15495,0.68192,0.3162,0.00401,0.92163,0.8116,0.8427,0.66742,0.91459,0.5869,0.00595,0.00014007,0.00014007,0.00014007
74,15706.5,0.67179,0.31398,0.00401,0.90821,0.8043,0.83921,0.66604,0.91878,0.60259,0.00601,0.000137224,0.000137224,0.000137224
75,15917.9,0.67276,0.30091,0.00399,0.88326,0.81424,0.84836,0.67321,0.92896,0.57779,0.00604,0.000134377,0.000134377,0.000134377
76,16129.1,0.66682,0.31029,0.00408,0.91042,0.81683,0.84861,0.67652,0.91188,0.59685,0.00593,0.000131531,0.000131531,0.000131531
77,16340.6,0.66623,0.29756,0.00394,0.89931,0.82256,0.85027,0.67924,0.91107,0.6018,0.00595,0.000128685,0.000128685,0.000128685
78,16551.8,0.65706,0.29715,0.00388,0.91199,0.81445,0.85958,0.67623,0.90704,0.57488,0.00585,0.000125839,0.000125839,0.000125839
79,16763.3,0.65229,0.30691,0.00385,0.88872,0.81861,0.84604,0.67074,0.91522,0.60604,0.00591,0.000122992,0.000122992,0.000122992
80,16974.3,0.64579,0.29638,0.00383,0.89209,0.81986,0.85077,0.67018,0.91288,0.60713,0.00587,0.000120146,0.000120146,0.000120146
81,17185,0.63913,0.28867,0.00377,0.89264,0.81534,0.84172,0.66687,0.91066,0.60589,0.0059,0.0001173,0.0001173,0.0001173
82,17396.2,0.64897,0.29517,0.00383,0.89862,0.81176,0.83674,0.66443,0.91023,0.59508,0.00583,0.000114454,0.000114454,0.000114454
83,17607.4,0.64438,0.29817,0.00384,0.88243,0.79595,0.83766,0.66161,0.91636,0.62398,0.00592,0.000111607,0.000111607,0.000111607
84,17818.5,0.6462,0.28991,0.00383,0.9137,0.79765,0.83766,0.66204,0.93486,0.63145,0.00601,0.000108761,0.000108761,0.000108761
85,18029.9,0.63228,0.28211,0.00365,0.87203,0.8103,0.83786,0.66466,0.91808,0.60549,0.00594,0.000105915,0.000105915,0.000105915
86,18240.9,0.63879,0.29179,0.0038,0.91152,0.81401,0.84176,0.67162,0.90523,0.58029,0.00585,0.000103069,0.000103069,0.000103069
87,18452,0.62556,0.28666,0.00367,0.87788,0.80617,0.8367,0.66484,0.90547,0.60507,0.00587,0.000100222,0.000100222,0.000100222
88,18663,0.62835,0.29072,0.00368,0.89158,0.79673,0.83526,0.66187,0.92531,0.60824,0.006,9.73763e-05,9.73763e-05,9.73763e-05
89,18874.3,0.61833,0.27966,0.00362,0.90047,0.79639,0.83164,0.65865,0.91494,0.59446,0.00593,9.453e-05,9.453e-05,9.453e-05
90,19085.8,0.61163,0.2663,0.00359,0.88949,0.79442,0.83037,0.65685,0.92478,0.60379,0.00606,9.16837e-05,9.16837e-05,9.16837e-05
91,19297.2,0.60765,0.27598,0.00357,0.87301,0.82287,0.83371,0.66077,0.90038,0.60019,0.00582,8.88375e-05,8.88375e-05,8.88375e-05
92,19508.3,0.60211,0.26159,0.00347,0.88867,0.80322,0.82884,0.65889,0.91044,0.63235,0.00595,8.59913e-05,8.59913e-05,8.59913e-05
93,19719.5,0.6015,0.26472,0.00358,0.92584,0.79845,0.8303,0.6597,0.91406,0.64639,0.00599,8.3145e-05,8.3145e-05,8.3145e-05
94,19930.9,0.59882,0.26382,0.00351,0.85335,0.79261,0.82843,0.65884,0.91647,0.65743,0.00597,8.02987e-05,8.02987e-05,8.02987e-05
95,20142.2,0.60021,0.27299,0.00361,0.87695,0.81859,0.83125,0.66228,0.93013,0.6376,0.0061,7.74525e-05,7.74525e-05,7.74525e-05
96,20353.5,0.59284,0.26303,0.00349,0.87218,0.82711,0.83725,0.66653,0.91449,0.58961,0.00595,7.46063e-05,7.46063e-05,7.46063e-05
97,20564.7,0.59,0.25477,0.00348,0.87692,0.81967,0.8338,0.6626,0.92027,0.60461,0.00603,7.176e-05,7.176e-05,7.176e-05
98,20775.9,0.57842,0.25233,0.00343,0.87789,0.8247,0.8352,0.66048,0.93447,0.5965,0.00611,6.89137e-05,6.89137e-05,6.89137e-05
99,20987.3,0.57902,0.25251,0.00335,0.88151,0.82276,0.83345,0.65843,0.94185,0.60906,0.0062,6.60675e-05,6.60675e-05,6.60675e-05
