split,images,ground_truth,tp,fp,fn,overall_recall,overall_fdr,ship_recall,ship_fdr,aircraft_recall,aircraft_fdr,vehicle_ground_truth,vehicle_recall,vehicle_fdr,mean_seconds,max_seconds,max_end_to_end_seconds
Scene-grouped,10,6317,6021,1015,296,0.953142314389742,0.14425810119386015,0.8231511254019293,0.2808988764044944,0.9885670731707317,0.11331396342505555,136,0.47794117647058826,0.4444444444444444,7.4877057038247585,8.31809697393328,9.14489
Mixed-stress,10,6317,6013,960,304,0.9518758904543296,0.13767388498494193,0.8210075026795284,0.2669856459330144,0.9874237804878049,0.10778236914600552,136,0.47794117647058826,0.4583333333333333,7.4741149703972045,8.039028100669384,8.830519
Sparse,3,150,149,30,1,0.9933333333333333,0.16759776536312848,0.9375,0.34782608695652173,1.0,0.13548387096774195,0,0.0,1.0,7.525448988347004,7.981416132766753,8.501735
